首見日期,末見日期,代碼,簡稱,下櫃日期
2026-08-28,2026-09-24,89964,高力四,115/08/28
2026-08-28,2026-09-24,67961,晉弘一,115/08/26
2026-08-28,2026-09-24,23683,金像電三,115/08/21
2026-08-28,2026-09-24,64145,樺漢五,115/08/17
2026-08-28,2026-09-24,24624,良得電四,115/08/12
2026-08-28,2026-09-24,82551,朋程一,115/08/10
2026-08-28,2026-09-24,65842,南俊國際二,115/08/10
2026-08-28,2026-09-24,65841,南俊國際一,115/08/10
2026-08-28,2026-09-24,53095,系統電五,115/08/10
2026-08-28,2026-09-24,370201,大聯大E1,115/08/10
2026-08-28,2026-09-24,24642,盟立二,115/08/10
2026-08-28,2026-09-24,64773,安集三,115/08/05
2026-08-28,2026-09-24,23383,光罩三,115/08/04
2026-08-28,2026-09-24,50097,榮剛七,115/08/03
2026-08-28,2026-09-24,20662,世德二,115/08/03
2026-08-28,2026-09-24,61827,合晶七,115/07/28
2026-08-28,2026-09-24,84662,美吉吉二KY,115/07/27
2026-08-28,2026-09-24,61793,亞通三,115/07/27
2026-08-28,2026-09-24,52303,雷笛克光學三,115/07/27
2026-08-28,2026-09-24,37023,大聯大三,115/07/27
2026-08-28,2026-09-24,37022,大聯大二,115/07/27
2026-08-28,2026-09-24,49674,十銓四,115/07/20
2026-08-28,2026-09-24,24866,一詮六,115/07/20
2026-08-28,2026-09-24,32608,威剛八,115/07/10
2026-08-28,2026-09-24,35832,辛耘二,115/07/08
2026-08-28,2026-09-24,35831,辛耘一,115/07/08
2026-08-28,2026-09-24,62756,元山六,115/07/06
2026-08-28,2026-09-24,31282,昇銳二,115/07/06
2026-08-28,2026-09-24,30922,鴻碩二,115/07/06
2026-08-28,2026-09-24,54342,崇越二,115/06/30
2026-08-28,2026-09-24,62745,台燿五,115/06/29
2026-08-28,2026-09-24,15894,永冠四KY,115/06/29
2026-08-28,2026-09-24,31351,凌航一,115/06/25
2026-08-28,2026-09-24,64423,光聖三,115/06/24
2026-08-28,2026-09-23,68061,森崴能源一,115/06/23
2026-08-28,2026-09-22,68041,明係一,115/06/22
2026-08-28,2026-09-22,56086,四維航六,115/06/22
2026-08-28,2026-09-22,35871,閎康一,115/06/22
2026-08-28,2026-09-15,47471,強生一,115/06/15
2026-08-28,2026-09-11,64422,光聖二,115/06/12
2026-08-28,2026-09-11,60151,宏遠證一,115/06/12
2026-08-28,2026-09-11,67152,嘉基二,115/06/11
2026-08-28,2026-09-03,49066,正文六,115/06/03
2026-08-28,2026-09-03,33233,加百裕三,115/06/03
2026-08-28,2026-09-02,68231,濾能一,115/06/02
2026-08-28,2026-09-01,49165,事欣科五,115/06/01
2026-08-28,2026-09-01,37012,大眾控二,115/06/01
2026-08-28,2026-09-24,30882,艾訊二,115/08/31
2026-08-28,2026-09-24,15864,和勤四,115/08/31
2026-09-01,2026-09-24,15865,和勤五,115/09/01
2026-09-02,2026-09-24,66722,騰輝電子二KY,115/09/02
2026-09-02,2026-09-24,66721,騰輝電子一KY,115/09/02
2026-09-03,2026-09-24,15601,中砂一,115/09/03
2026-09-10,2026-09-24,33881,崇越電一,115/09/10
2026-09-14,2026-09-24,64512,訊芯二KY,115/09/14
2026-09-14,2026-09-24,24361,偉詮電一,115/09/14
2026-09-16,2026-09-24,23372,旺宏二,115/09/16
2026-09-17,2026-09-24,33055,昇貿五,115/09/17
2026-09-18,2026-09-24,45421,科嶠一,115/09/18
2026-09-21,2026-09-24,31312,弘塑二,115/09/21
2026-09-21,2026-09-24,31311,弘塑一,115/09/21
2026-09-21,2026-09-24,29061,高林一,115/09/21
2026-09-21,2026-09-24,15261,日馳一,115/09/21
